TwoTheta,Counts,Starch
56.165,1108,Tapioca
56.143,1030,Tapioca
56.122,1087,Tapioca
56.101,1029,Tapioca
56.08,1053,Tapioca
56.059,1117,Tapioca
56.038,1083,Tapioca
56.017,1106,Tapioca
55.995,1061,Tapioca
55.974,1072,Tapioca
55.953,1085,Tapioca
55.932,1098,Tapioca
55.911,1081,Tapioca
55.89,1131,Tapioca
55.869,1104,Tapioca
55.847,1094,Tapioca
55.826,1095,Tapioca
55.805,1150,Tapioca
55.784,1077,Tapioca
55.763,1114,Tapioca
55.742,1120,Tapioca
55.721,1079,Tapioca
55.699,1146,Tapioca
55.678,1118,Tapioca
55.657,1155,Tapioca
55.636,1100,Tapioca
55.615,1150,Tapioca
55.594,1119,Tapioca
55.573,1107,Tapioca
55.551,1084,Tapioca
55.53,1144,Tapioca
55.509,1097,Tapioca
55.488,1112,Tapioca
55.467,1153,Tapioca
55.446,1116,Tapioca
55.425,1143,Tapioca
55.403,1164,Tapioca
55.382,1131,Tapioca
55.361,1142,Tapioca
55.34,1127,Tapioca
55.319,1174,Tapioca
55.298,1142,Tapioca
55.277,1132,Tapioca
55.255,1155,Tapioca
55.234,1190,Tapioca
55.213,1149,Tapioca
55.192,1124,Tapioca
55.171,1153,Tapioca
55.15,1177,Tapioca
55.129,1130,Tapioca
55.107,1178,Tapioca
55.086,1140,Tapioca
55.065,1181,Tapioca
55.044,1167,Tapioca
55.023,1151,Tapioca
55.002,1172,Tapioca
54.981,1206,Tapioca
54.959,1181,Tapioca
54.938,1203,Tapioca
54.917,1126,Tapioca
54.896,1230,Tapioca
54.875,1202,Tapioca
54.854,1147,Tapioca
54.833,1139,Tapioca
54.811,1109,Tapioca
54.79,1220,Tapioca
54.769,1191,Tapioca
54.748,1151,Tapioca
54.727,1211,Tapioca
54.706,1227,Tapioca
54.685,1088,Tapioca
54.663,1189,Tapioca
54.642,1138,Tapioca
54.621,1147,Tapioca
54.6,1216,Tapioca
54.579,1151,Tapioca
54.558,1197,Tapioca
54.537,1239,Tapioca
54.515,1246,Tapioca
54.494,1234,Tapioca
54.473,1263,Tapioca
54.452,1182,Tapioca
54.431,1230,Tapioca
54.41,1278,Tapioca
54.389,1242,Tapioca
54.367,1242,Tapioca
54.346,1156,Tapioca
54.325,1191,Tapioca
54.304,1204,Tapioca
54.283,1180,Tapioca
54.262,1228,Tapioca
54.241,1271,Tapioca
54.219,1246,Tapioca
54.198,1215,Tapioca
54.177,1176,Tapioca
54.156,1268,Tapioca
54.135,1247,Tapioca
54.114,1250,Tapioca
54.093,1251,Tapioca
54.071,1231,Tapioca
54.05,1265,Tapioca
54.029,1274,Tapioca
54.008,1240,Tapioca
53.987,1247,Tapioca
53.966,1279,Tapioca
53.945,1240,Tapioca
53.923,1292,Tapioca
53.902,1268,Tapioca
53.881,1226,Tapioca
53.86,1293,Tapioca
53.839,1226,Tapioca
53.818,1223,Tapioca
53.797,1292,Tapioca
53.775,1256,Tapioca
53.754,1301,Tapioca
53.733,1275,Tapioca
53.712,1215,Tapioca
53.691,1290,Tapioca
53.67,1222,Tapioca
53.649,1300,Tapioca
53.627,1298,Tapioca
53.606,1277,Tapioca
53.585,1310,Tapioca
53.564,1271,Tapioca
53.543,1282,Tapioca
53.522,1292,Tapioca
53.501,1301,Tapioca
53.479,1276,Tapioca
53.458,1253,Tapioca
53.437,1278,Tapioca
53.416,1308,Tapioca
53.395,1247,Tapioca
53.374,1275,Tapioca
53.353,1293,Tapioca
53.331,1350,Tapioca
53.31,1350,Tapioca
53.289,1304,Tapioca
53.268,1288,Tapioca
53.247,1353,Tapioca
53.226,1334,Tapioca
53.205,1282,Tapioca
53.183,1347,Tapioca
53.162,1262,Tapioca
53.141,1342,Tapioca
53.12,1342,Tapioca
53.099,1296,Tapioca
53.078,1304,Tapioca
53.057,1302,Tapioca
53.035,1291,Tapioca
53.014,1279,Tapioca
52.993,1309,Tapioca
52.972,1287,Tapioca
52.951,1296,Tapioca
52.93,1254,Tapioca
52.909,1312,Tapioca
52.887,1352,Tapioca
52.866,1277,Tapioca
52.845,1347,Tapioca
52.824,1384,Tapioca
52.803,1345,Tapioca
52.782,1318,Tapioca
52.761,1340,Tapioca
52.739,1354,Tapioca
52.718,1343,Tapioca
52.697,1322,Tapioca
52.676,1302,Tapioca
52.655,1375,Tapioca
52.634,1345,Tapioca
52.613,1357,Tapioca
52.591,1334,Tapioca
52.57,1335,Tapioca
52.549,1358,Tapioca
52.528,1375,Tapioca
52.507,1318,Tapioca
52.486,1327,Tapioca
52.465,1407,Tapioca
52.443,1327,Tapioca
52.422,1337,Tapioca
52.401,1362,Tapioca
52.38,1259,Tapioca
52.359,1332,Tapioca
52.338,1363,Tapioca
52.317,1290,Tapioca
52.295,1335,Tapioca
52.274,1400,Tapioca
52.253,1345,Tapioca
52.232,1335,Tapioca
52.211,1369,Tapioca
52.19,1371,Tapioca
52.169,1335,Tapioca
52.147,1376,Tapioca
52.126,1330,Tapioca
52.105,1368,Tapioca
52.084,1314,Tapioca
52.063,1298,Tapioca
52.042,1319,Tapioca
52.021,1358,Tapioca
51.999,1283,Tapioca
51.978,1373,Tapioca
51.957,1326,Tapioca
51.936,1360,Tapioca
51.915,1364,Tapioca
51.894,1334,Tapioca
51.873,1300,Tapioca
51.851,1326,Tapioca
51.83,1358,Tapioca
51.809,1369,Tapioca
51.788,1323,Tapioca
51.767,1332,Tapioca
51.746,1315,Tapioca
51.725,1318,Tapioca
51.703,1446,Tapioca
51.682,1414,Tapioca
51.661,1348,Tapioca
51.64,1400,Tapioca
51.619,1371,Tapioca
51.598,1346,Tapioca
51.577,1376,Tapioca
51.555,1434,Tapioca
51.534,1355,Tapioca
51.513,1405,Tapioca
51.492,1327,Tapioca
51.471,1420,Tapioca
51.45,1362,Tapioca
51.429,1408,Tapioca
51.407,1405,Tapioca
51.386,1392,Tapioca
51.365,1383,Tapioca
51.344,1427,Tapioca
51.323,1405,Tapioca
51.302,1398,Tapioca
51.281,1369,Tapioca
51.259,1432,Tapioca
51.238,1344,Tapioca
51.217,1371,Tapioca
51.196,1354,Tapioca
51.175,1407,Tapioca
51.154,1415,Tapioca
51.133,1361,Tapioca
51.111,1343,Tapioca
51.09,1398,Tapioca
51.069,1395,Tapioca
51.048,1361,Tapioca
51.027,1393,Tapioca
51.006,1391,Tapioca
50.985,1365,Tapioca
50.963,1428,Tapioca
50.942,1426,Tapioca
50.921,1379,Tapioca
50.9,1451,Tapioca
50.879,1439,Tapioca
50.858,1400,Tapioca
50.837,1405,Tapioca
50.815,1425,Tapioca
50.794,1437,Tapioca
50.773,1441,Tapioca
50.752,1424,Tapioca
50.731,1383,Tapioca
50.71,1440,Tapioca
50.689,1431,Tapioca
50.667,1463,Tapioca
50.646,1397,Tapioca
